City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
459,lakes entrance,-37.8811,147.981,282.68,70,8,2.36,AU,1680384888
460,codrington,-38.2667,141.9667,285.2,72,57,0.83,AU,1680384888
461,thurso,58.5927,-3.5259,278.29,89,14,4.45,GB,1680384888
462,faya,18.3851,42.4509,288.21,85,77,2.71,SA,1680384888
463,tura,25.5198,90.2201,289.64,94,88,0.85,IN,1680384889
464,berlevag,70.8578,29.0864,270.15,68,100,11.83,NO,1680384889
465,yerofey pavlovich,53.9667,121.9667,265.53,63,100,2.78,RU,1680384889
466,peterborough,52.5736,-0.2478,280.57,87,100,5.66,GB,1680384860
467,nanhai,30.1282,111.7784,289.73,82,10,2.26,CN,1680384890
468,semey,50.4111,80.2275,267.23,47,4,7.79,KZ,1680384890
469,preobrazheniye,42.9019,133.9064,276.21,62,16,1.46,RU,1680384890
470,bubaque,11.2833,-15.8333,298.5,75,1,8.42,GW,1680384890
471,polunochnoye,60.8697,60.4153,274.07,86,92,3.51,RU,1680384890
472,mbanza-ngungu,-5.25,14.8667,293.23,99,100,2.45,CD,1680384891
473,namatanai,-3.6667,152.4333,299.71,77,100,1.98,PG,1680384891
474,sorland,67.667,12.6934,275.07,57,17,4.23,NO,1680384891
475,dargaville,-35.9333,173.8833,292.7,84,100,1.42,NZ,1680384891
476,krasnoarmeysk,51.0239,45.6969,279.97,61,100,0.72,RU,1680384891
477,chapais,49.7834,-74.8492,271.03,89,100,7.41,CA,1680384763
478,pasan,22.85,82.2,293.09,50,4,1.4,IN,1680384892
479,son la,21.3167,103.9,292.44,61,1,1.46,VN,1680384892
480,talnakh,69.4865,88.3972,265.49,94,100,8.47,RU,1680384892
481,san andres,12.5847,-81.7006,303.16,62,100,7.72,CO,1680384893
482,mandalgovi,45.7625,106.2708,261.59,81,100,10.95,MN,1680384893
483,sosnovo-ozerskoye,52.5249,111.5418,264.67,34,100,5.14,RU,1680384893
484,tabuk,17.4189,121.4443,295.04,94,22,0.87,PH,1680384893
485,venado tuerto,-33.7456,-61.9688,288.67,61,37,3.44,AR,1680384893
486,maceio,-9.6658,-35.7353,299.84,83,0,3.6,BR,1680384845
487,mweka,-4.85,21.5667,293.19,98,85,0.94,CD,1680384894
488,tazovskiy,67.4667,78.7,273.89,98,100,8.01,RU,1680384894
489,torbat-e jam,35.244,60.6225,287.14,67,100,2.68,IR,1680384894
490,san jose,37.3394,-121.895,292.79,45,20,4.63,US,1680384424
491,caravelas,-17.7125,-39.2481,299.29,78,0,3.96,BR,1680384895
492,zaraza,9.3503,-65.3245,299.94,66,100,4.51,VE,1680384895
493,ouesso,1.6136,16.0517,296.75,67,25,1.03,CG,1680384895
494,la asuncion,11.0333,-63.8628,300.0,74,95,8.23,VE,1680384895
495,safaga,26.7292,33.9365,292.84,41,0,6.36,EG,1680384895
496,saint-joseph,-21.3667,55.6167,297.36,83,29,4.48,RE,1680384896
497,grand-santi,4.25,-54.3833,295.6,96,73,1.34,GF,1680384896
